1.01 POSITION,1.02 DURATION,1.03 SCORE,1.04 ENDING SHOT MARKER ID,1.1 WHO WON THE POINT,1.11 WHO LOST THE POINT,1.2 RALLY OUTCOME,1.2.1 RALLY OUTCOME DETAILED,1.3 RALLY LENGTH,1.3.1 RALLY LENGTH DETAILED,1.4 GAME SCORE CONDITIONS,1.5 SET SCORE CONDITIONS,2.1 ENDING SHOT. SHOT TYPE,2.2 ENDING SHOT. SHOT CATEGORY,2.3 ENDING SHOT. SHOT DIRECTION,2.4 ENDING SHOT. HITTING POINT,2.5 ENDING SHOT. DEPTH,3.1 SERVER,3.2 SERVE ORDER,3.3 SERVE DIRECTION,4.1 RETURN. SHOT TYPE,4.1 RETURNER,4.2 RETURN. SHOT CATEGORY,4.3 RETURN. SHOT DIRECTION,4.4 RETURN. HITTING POINT,4.5 RETURN. DEPTH,5.1 SERVE + 1 SHOT. SHOT TYPE,5.2 SERVE + 1 SHOT. SHOT CATEGORY,5.3 SERVE + 1 SHOT. SHOT DIRECTION,5.4 SERVE + 1 SHOT. HITTING POINT,5.5 SERVE + 1 SHOT. DEPTH,6.1 CHEAP POINT,7.1 DISPUTABLE POINT
369,28,Set 1; 0:1; *30:40,5081,Drew Goldman,Tarm Rojanasoonthon,Unforced Error,Unforced Error,9+ shots,15,Break Point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Aggressive,Ending shot. Deep,Tarm Rojanasoonthon,1st serve,Ad court (Wide),Return. Backhand,Drew Goldman,Return. Topspin/Flat,Center,Return. Neutral aggressive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Half court zone,Serve + 1 shot. Deep,Not a Cheap point,
447,5,Set 1; 0:2; 0:0*,5084,Tarm Rojanasoonthon,Drew Goldman,Unforced Error,Unforced Error,1-2 shots,1,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Drew Goldman,2nd serve,Deuce court (Wide),,Tarm Rojanasoonthon,,,,,,,,,,Not a Cheap point,
481,19,Set 1; 0:2; 15:0*,5095,Tarm Rojanasoonthon,Drew Goldman,Unforced Error,Unforced Error,9+ shots,11,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Center,Ending shot. Half court zone,Ending shot. Short,Drew Goldman,1st serve,Ad court (T),Return. Backhand,Tarm Rojanasoonthon,Return. Topspin/Flat,Cross,Return. Neutral aggressive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside in,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
523,10,Set 1; 0:2; 30:0*,5100,Tarm Rojanasoonthon,Drew Goldman,Winner/Provoked Point,Winner,3-4 shots,4,15:30 and 0:30,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Approach Shot,Down the line,Ending shot. Half court zone,Ending shot. Deep,Drew Goldman,1st serve,Deuce court (Wide),Return. Backhand,Tarm Rojanasoonthon,Return. Slice,Down the line,Return. Half court zone,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Slice,Inside out,Serve + 1 shot. Half court zone,Serve + 1 shot. Short,Cheap Point on return,
555,5,Set 1; 0:2; 40:0*,5103,Drew Goldman,Tarm Rojanasoonthon,Winner/Provoked Point,Winner,1-2 shots,1,Break Point,Beginning: 1-4 game,Ending shot. Serve,,,,,Drew Goldman,2nd serve,Ad court (Body),,Tarm Rojanasoonthon,,,,,,,,,,Ace/Serve-winner,
580,10,Set 1; 0:2; 40:15*,5108,Drew Goldman,Tarm Rojanasoonthon,Winner/Provoked Point,Winner,5-8 shots,5,Break Point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Lob,,Ending shot. Defensive,Ending shot. Deep,Drew Goldman,1st serve,Deuce court (Wide),Return. Backhand,Tarm Rojanasoonthon,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside center,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Cheap Point on serve,
615,5,Set 1; 0:2; 40:30*,5111,Drew Goldman,Tarm Rojanasoonthon,Unforced Error,Unforced Error,1-2 shots,2,Break Point,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Cross,Ending shot. Half court zone,Ending shot. Short,Drew Goldman,1st serve,Ad court (T),Return. Backhand,Tarm Rojanasoonthon,Return. Topspin/Flat,Down the line,Return. Half court zone,Return. Short,,,,,,Not a Cheap point,
639,5,Set 1; -1:3; 40:40*,5112,Drew Goldman,Tarm Rojanasoonthon,Winner/Provoked Point,Winner,1-2 shots,1,30:30 and 40:40,Beginning: 1-4 game,Ending shot. Serve,,,,,Drew Goldman,1st serve,Deuce court (Wide),,Tarm Rojanasoonthon,,,,,,,,,,Ace/Serve-winner,
734,7,Set 1; 0:3; *0:0,5113,Tarm Rojanasoonthon,Drew Goldman,Winner/Provoked Point,Provoked Point,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Tarm Rojanasoonthon,1st serve,Deuce court (T),Return. Backhand,Drew Goldman,Return. Topspin/Flat,Down the line,Return. Neutral aggressive,Return. Short,,,,,,Cheap Point on serve,
751,13,Set 1; 0:3; *15:0,5120,Drew Goldman,Tarm Rojanasoonthon,Winner/Provoked Point,Winner,5-8 shots,6,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Cross,Ending shot. Half court zone,Ending shot. Deep,Tarm Rojanasoonthon,1st serve,Ad court (Body),Return. Backhand,Drew Goldman,Return. Topspin/Flat,Cross,Return. Neutral aggressive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Center,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Deep,Cheap Point on return,
