1.01 POSITION,1.02 DURATION,1.03 SCORE,1.04 ENDING SHOT MARKER ID,1.1 WHO WON THE POINT,1.11 WHO LOST THE POINT,1.2 RALLY OUTCOME,1.2.1 RALLY OUTCOME DETAILED,1.3 RALLY LENGTH,1.3.1 RALLY LENGTH DETAILED,1.4 GAME SCORE CONDITIONS,1.5 SET SCORE CONDITIONS,2.1 ENDING SHOT. SHOT TYPE,2.2 ENDING SHOT. SHOT CATEGORY,2.3 ENDING SHOT. SHOT DIRECTION,2.4 ENDING SHOT. HITTING POINT,2.5 ENDING SHOT. DEPTH,3.1 SERVER,3.2 SERVE ORDER,3.3 SERVE DIRECTION,4.1 RETURN. SHOT TYPE,4.1 RETURNER,4.2 RETURN. SHOT CATEGORY,4.3 RETURN. SHOT DIRECTION,4.4 RETURN. HITTING POINT,4.5 RETURN. DEPTH,5.1 SERVE + 1 SHOT. SHOT TYPE,5.2 SERVE + 1 SHOT. SHOT CATEGORY,5.3 SERVE + 1 SHOT. SHOT DIRECTION,5.4 SERVE + 1 SHOT. HITTING POINT,5.5 SERVE + 1 SHOT. DEPTH,6.1 CHEAP POINT,7.1 DISPUTABLE POINT
3927,6,Set 2; 0:1; *30:15,5500,Luke Feng,Noah Lewis,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Aggressive,Ending shot. Short,Luke Feng,1st serve,Ad court (Body),Return. Backhand,Noah Lewis,Return. Topspin/Flat,Down the line,Return. Neutral aggressive,Return. Short,,,,,,Not a Cheap point,
3951,19,Set 2; 0:1; *40:15,5508,Noah Lewis,Luke Feng,Winner/Provoked Point,Provoked Point,9+ shots,9,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Approach Shot,Inside in,Ending shot. Half court zone,Ending shot. Deep,Luke Feng,1st serve,Deuce court (Wide),Return. Forehand,Noah Lewis,Return. Topspin/Flat,Center,Return. Defensive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Approach Shot,Down the line,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
3999,6,Set 2; 0:1; *40:30,5511,Luke Feng,Noah Lewis,Winner/Provoked Point,Provoked Point,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Luke Feng,1st serve,Ad court (T),Return. Forehand,Noah Lewis,Return. Slice,Cross,Return. Defensive,Return. Short,,,,,,Cheap Point on serve,
4035,6,Set 2; 1:1; 0:0*,5513,Noah Lewis,Luke Feng,Winner/Provoked Point,Provoked Point,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Noah Lewis,1st serve,Deuce court (Wide),Return. Forehand,Luke Feng,Return. Slice,Down the line,Return. Half court zone,Return. Deep,,,,,,Cheap Point on serve,
4055,9,Set 2; 1:1; 0:15*,5518,Noah Lewis,Luke Feng,Unforced Error,Unforced Error,3-4 shots,4,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Slice,Center,Ending shot. Defensive,Ending shot. Deep,Noah Lewis,1st serve,Ad court (T),Return. Forehand,Luke Feng,Return. Slice,Center,Return. Neutral basic,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
4092,7,Set 2; 1:1; 0:30*,5523,Luke Feng,Noah Lewis,Unforced Error,Unforced Error,3-4 shots,3,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Center,Ending shot. Neutral Aggressive,Ending shot. Short,Noah Lewis,2nd serve,Deuce court (Body),Return. Forehand,Luke Feng,Return. Topspin/Flat,Center,Return. Half court zone,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Center,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Not a Cheap point,
4139,7,Set 2; 1:1; 15:30*,5528,Luke Feng,Noah Lewis,Unforced Error,Unforced Error,3-4 shots,3,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Aggressive,Ending shot. Middle,Noah Lewis,2nd serve,Ad court (Wide),Return. Backhand,Luke Feng,Return. Topspin/Flat,Cross,Return. Half court zone,Return. Middle,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
4185,5,Set 2; 1:1; 30:30*,5531,Luke Feng,Noah Lewis,Unforced Error,Unforced Error,1-2 shots,1,30:30 and 40:40,Beginning: 1-4 game,Ending shot. Serve,,,,,Noah Lewis,2nd serve,Deuce court (T),,Luke Feng,,,,,,,,,,Not a Cheap point,
4209,9,Set 2; 1:1; 40:30*,5536,Noah Lewis,Luke Feng,Winner/Provoked Point,Winner,5-8 shots,5,Break Point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Volley,,Ending shot. Net Area,Ending shot. Short,Noah Lewis,1st serve,Ad court (Wide),Return. Backhand,Luke Feng,Return. Topspin/Flat,Down the line,Return. Defensive,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Approach Shot,Cross,Serve + 1 shot. Half court zone,Serve + 1 shot. Deep,Cheap Point on serve,
4255,8,Set 2; 1:1; 40:40*,5540,Luke Feng,Noah Lewis,Unforced Error,Unforced Error,3-4 shots,3,30:30 and 40:40,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Inside out,Ending shot. Neutral Aggressive,Ending shot. Short,Noah Lewis,1st serve,Ad court (T),Return. Forehand,Luke Feng,Return. Topspin/Flat,Center,Return. Neutral defensive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside out,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Not a Cheap point,
