1.01 POSITION,1.02 DURATION,1.03 SCORE,1.04 ENDING SHOT MARKER ID,1.1 WHO WON THE POINT,1.11 WHO LOST THE POINT,1.2 RALLY OUTCOME,1.2.1 RALLY OUTCOME DETAILED,1.3 RALLY LENGTH,1.3.1 RALLY LENGTH DETAILED,1.4 GAME SCORE CONDITIONS,1.5 SET SCORE CONDITIONS,2.1 ENDING SHOT. SHOT TYPE,2.2 ENDING SHOT. SHOT CATEGORY,2.3 ENDING SHOT. SHOT DIRECTION,2.4 ENDING SHOT. HITTING POINT,2.5 ENDING SHOT. DEPTH,3.1 SERVER,3.2 SERVE ORDER,3.3 SERVE DIRECTION,4.1 RETURN. SHOT TYPE,4.1 RETURNER,4.2 RETURN. SHOT CATEGORY,4.3 RETURN. SHOT DIRECTION,4.4 RETURN. HITTING POINT,4.5 RETURN. DEPTH,5.1 SERVE + 1 SHOT. SHOT TYPE,5.2 SERVE + 1 SHOT. SHOT CATEGORY,5.3 SERVE + 1 SHOT. SHOT DIRECTION,5.4 SERVE + 1 SHOT. HITTING POINT,5.5 SERVE + 1 SHOT. DEPTH,6.1 CHEAP POINT,7.1 DISPUTABLE POINT
1916,13,Set 1; 5:2; 30:0*,5227,Henry Hyden,Neil Chulani,Winner/Provoked Point,Provoked Point,5-8 shots,6,15:30 and 0:30,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Volley,,Ending shot. Half court zone,Ending shot. Middle,Henry Hyden,1st serve,Deuce court (Wide),Return. Forehand,Neil Chulani,Return. Slice,Down the line,Return. Neutral basic,Return. Deep,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Middle,Cheap Point on serve,
1947,9,Set 1; 5:2; 30:15*,5232,Neil Chulani,Henry Hyden,Unforced Error,Unforced Error,3-4 shots,3,15:30 and 0:30,Middle: 5-8 game,Ending shot. Forehand,Ending shot. Approach Shot,Inside in,Ending shot. Half court zone,Ending shot. Deep,Henry Hyden,1st serve,Ad court (Body),Return. Backhand,Neil Chulani,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Approach Shot,Inside in,Serve + 1 shot. Half court zone,Serve + 1 shot. Deep,Not a Cheap point,
1968,14,Set 1; 5:2; 40:15*,5240,Neil Chulani,Henry Hyden,Unforced Error,Unforced Error,5-8 shots,7,Break Point,Middle: 5-8 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Defensive,Ending shot. Short,Henry Hyden,1st serve,Deuce court (T),Return. Backhand,Neil Chulani,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Deep,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Deep,Not a Cheap point,
2109,9,Set 2; 0:0; *0:0,5247,Neil Chulani,Henry Hyden,Winner/Provoked Point,Provoked Point,3-4 shots,4,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Defensive,Ending shot. Middle,Neil Chulani,2nd serve,Deuce court (T),Return. Backhand,Henry Hyden,Return. Topspin/Flat,Down the line,Return. Neutral basic,Return. Middle,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Middle,Cheap Point on serve,
2156,5,Set 2; 0:0; *15:0,5251,Henry Hyden,Neil Chulani,Unforced Error,Unforced Error,1-2 shots,1,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Neil Chulani,2nd serve,Ad court (Body),,Henry Hyden,,,,,,,,,,Not a Cheap point,
2189,9,Set 2; 0:0; *15:15,5255,Henry Hyden,Neil Chulani,Winner/Provoked Point,Winner,3-4 shots,4,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Passing Shot,Down the line,Ending shot. Neutral Defensive,Ending shot. Middle,Neil Chulani,1st serve,Deuce court (T),Return. Backhand,Henry Hyden,Return. Topspin/Flat,Center,Return. Neutral defensive,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Volley,,Serve + 1 shot. Net Area,Serve + 1 shot. Deep,Cheap Point on return,
2229,16,Set 2; 0:0; *15:30,5264,Henry Hyden,Neil Chulani,Winner/Provoked Point,Winner,5-8 shots,8,15:30 and 0:30,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Volley,,Ending shot. Half court zone,Ending shot. Short,Neil Chulani,1st serve,Ad court (Body),Return. Backhand,Henry Hyden,Return. Topspin/Flat,Cross,Return. Neutral defensive,Return. Short,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Center,Serve + 1 shot. Half court zone,Serve + 1 shot. Middle,Not a Cheap point,
2277,11,Set 2; 0:0; *15:40,5270,Henry Hyden,Neil Chulani,Unforced Error,Unforced Error,5-8 shots,5,Break Point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Volley Smash,,Ending shot. Net Area,Ending shot. Deep,Neil Chulani,1st serve,Deuce court (Wide),Return. Forehand,Henry Hyden,Return. Slice,Center,Return. Neutral basic,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Net Area,Serve + 1 shot. Deep,Not a Cheap point,
2363,8,Set 2; 0:1; 0:0*,5274,Neil Chulani,Henry Hyden,Unforced Error,Unforced Error,3-4 shots,3,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Center,Ending shot. Neutral Aggressive,Ending shot. Short,Henry Hyden,1st serve,Deuce court (Wide),Return. Forehand,Neil Chulani,Return. Topspin/Flat,Down the line,Return. Neutral basic,Return. Middle,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Center,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Not a Cheap point,
2382,16,Set 2; 0:1; 15:0*,5284,Henry Hyden,Neil Chulani,Winner/Provoked Point,Winner,9+ shots,9,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Volley,,Ending shot. Half court zone,Ending shot. Middle,Henry Hyden,1st serve,Ad court (T),Return. Forehand,Neil Chulani,Return. Topspin/Flat,Cross,Return. Neutral defensive,Return. Short,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Deep,Not a Cheap point,
